index,name,set,rarity,cardNumber,condition,finish,quantity,marketPrice,priceDelta,priceDeltaPercent,trend,imageUrl,imageAlt
110,Ekko - Recurrent,Origins,Rare,110/298,Near Mint,Foil,1,1.12,-0.07,-5.88,down,https://public.getcollectr.com/public-assets/products/product_652891.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ekko - Recurrent 
111,Lee Sin - Ascetic,Origins,Epic,078/298,Near Mint,Foil,1,1.05,-0.06,-5.41,down,https://public.getcollectr.com/public-assets/products/product_652856.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lee Sin - Ascetic 
112,Sivir - Mercenary (Alternate Art),Spiritforged,Showcase,143a/221,Near Mint,Foil,1,1.04,0.01,0.97,up,https://public.getcollectr.com/public-assets/products/product_666601.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sivir - Mercenary (Alternate Art) 
113,Wyper,Adventure on Kami's Island,SR,OP15-114,Near Mint,Foil,1,1.04,0.23,28.4,up,https://public.getcollectr.com/public-assets/products/product_685471.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Wyper 
114,Inviolus Vox,Unleashed,Epic,027/219,Near Mint,Foil,1,1.03,-0.01,-0.96,down,https://public.getcollectr.com/public-assets/products/product_684510.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Inviolus Vox 
115,Lillia - Protector of Dreams,Unleashed,Epic,058/219,Near Mint,Foil,1,1.03,-0.43,-29.45,down,https://public.getcollectr.com/public-assets/products/product_684589.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lillia - Protector of Dreams 
116,Shadow,Unleashed,Epic,194/219,Near Mint,Foil,2,1,-0.26,-20.63,down,https://public.getcollectr.com/public-assets/products/product_685673.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Shadow 
117,Bellows Breath,Spiritforged,Rare,080/221,Near Mint,Foil,2,0.97,0.07,7.78,up,https://public.getcollectr.com/public-assets/products/product_665009.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Bellows Breath 
118,Hextech Gauntlets,Unleashed,Epic,188/219,Near Mint,Foil,1,0.96,-0.11,-10.28,down,https://public.getcollectr.com/public-assets/products/product_684657.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Hextech Gauntlets 
119,Sprite Fountain,Unleashed,Uncommon,078/219,Near Mint,Normal,1,0.95,0.41,75.93,up,https://public.getcollectr.com/public-assets/products/product_685589.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sprite Fountain 
120,Red Brambleback,Unleashed,Epic,029/219,Near Mint,Foil,1,0.91,-0.65,-41.67,down,https://public.getcollectr.com/public-assets/products/product_685516.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Red Brambleback 
121,Ferrous Forerunner,Spiritforged,Rare,021/221,Near Mint,Foil,2,0.86,0.18,26.47,up,https://public.getcollectr.com/public-assets/products/product_666364.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ferrous Forerunner 
122,Sanji (OP15-047),Adventure on Kami's Island,R,OP15-047,Near Mint,Foil,1,0.85,-0.09,-9.57,down,https://public.getcollectr.com/public-assets/products/product_685392.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sanji (OP15-047) 
123,Poppy - Defender of the Meek,Unleashed,Epic,178/219,Near Mint,Foil,1,0.85,-0.32,-27.35,down,https://public.getcollectr.com/public-assets/products/product_685597.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Poppy - Defender of the Meek 
124,Vex - Cheerless,Spiritforged,Rare,146/221,Near Mint,Foil,1,0.83,-0.11,-11.7,down,https://public.getcollectr.com/public-assets/products/product_665486.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Vex - Cheerless 
125,Akshan - Mischievous,Spiritforged,Rare,109/221,Near Mint,Foil,1,0.82,0.04,5.13,up,https://public.getcollectr.com/public-assets/products/product_666888.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Akshan - Mischievous 
126,Luminous Energy,Paldea Evolved,Uncommon,191/193,Near Mint,Reverse Holofoil,1,0.78,-0.02,-2.5,down,https://public.getcollectr.com/public-assets/products/product_497564.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Luminous Energy 
127,Ashe - Focused,Riftbound Organized Play Promotional Cards,Promo,169/219,Near Mint,Foil,1,0.78,-0.1,-11.36,down,https://public.getcollectr.com/public-assets/products/product_692931.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ashe - Focused 
128,Maximum Belt,Temporal Forces,ACE SPEC Rare,154/162,Near Mint,Holofoil,1,0.75,-0.04,-5.06,down,https://public.getcollectr.com/public-assets/products/product_542670.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Maximum Belt 
129,Progress Day,Origins,Rare,114/298,Near Mint,Foil,1,0.75,-0.1,-11.76,down,https://public.getcollectr.com/public-assets/products/product_652896.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Progress Day 
130,Draven - Vanquisher (Alternate Art),Spiritforged,Showcase,020a/221,Near Mint,Foil,1,0.7,-0.14,-16.67,down,https://public.getcollectr.com/public-assets/products/product_664884.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Draven - Vanquisher (Alternate Art) 
131,Tony Tony.Chopper (OP15-085),Adventure on Kami's Island,R,OP15-085,Near Mint,Foil,1,0.66,-0.12,-15.38,down,https://public.getcollectr.com/public-assets/products/product_685437.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Tony Tony.Chopper (OP15-085) 
132,Smoke and Mirrors,Unleashed,Rare,083/219,Near Mint,Foil,3,0.66,-0.31,-31.96,down,https://public.getcollectr.com/public-assets/products/product_685946.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Smoke and Mirrors 
133,Yamato,Carrying On His Will,SR,OP13-054,Near Mint,Foil,1,0.65,0.04,6.56,up,https://public.getcollectr.com/public-assets/products/product_657314.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Yamato 
134,Vi - Destructive,Origins,Rare,036/298,Near Mint,Foil,1,0.63,-0.02,-3.08,down,https://public.getcollectr.com/public-assets/products/product_652809.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Vi - Destructive 
135,Scuttle Crab,Unleashed,Rare,053/219,Near Mint,Foil,1,0.62,0.13,26.53,up,https://public.getcollectr.com/public-assets/products/product_685519.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Scuttle Crab 
136,Mega Skarmory ex,Perfect Order,Double Rare,055/088,Near Mint,Holofoil,1,0.62,0.01,1.64,up,https://public.getcollectr.com/public-assets/products/product_684351.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mega Skarmory ex 
137,Nami (006),Extra Booster: One Piece Heroine's Edition,R,EB03-006,Near Mint,Foil,1,0.61,0.02,3.39,up,https://public.getcollectr.com/public-assets/products/product_672746.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Nami (006) 
138,Enel (OP15-060),Adventure on Kami's Island,SR,OP15-060,Near Mint,Foil,1,0.6,0,0,flat,https://public.getcollectr.com/public-assets/products/product_685408.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Enel (OP15-060) 
139,Fiora - Worthy,Spiritforged,Epic,180/221,Near Mint,Foil,1,0.58,0.13,28.89,up,https://public.getcollectr.com/public-assets/products/product_665033.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Fiora - Worthy 
140,Vi - Hotheaded,Unleashed,Epic,030/219,Near Mint,Foil,1,0.57,-0.06,-9.52,down,https://public.getcollectr.com/public-assets/products/product_684585.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Vi - Hotheaded 
141,Leona - Determined,Origins,Rare,238/298,Near Mint,Foil,1,0.53,-0.02,-3.64,down,https://public.getcollectr.com/public-assets/products/product_653032.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Leona - Determined 
142,Danger Zone,Spiritforged,Epic,182/221,Near Mint,Foil,1,0.51,-0.02,-3.77,down,https://public.getcollectr.com/public-assets/products/product_664918.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Danger Zone 
143,Bone Skewer,Unleashed,Rare,139/219,Near Mint,Foil,1,0.51,-0.14,-21.54,down,https://public.getcollectr.com/public-assets/products/product_685535.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Bone Skewer 
144,Toxel - 047/M-P,M-P Promotional Cards,Promo,047/M-P,Near Mint,Normal,1,0.5,0,0,flat,https://public.getcollectr.com/public-assets/products/product_684554.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Toxel - 047/M-P 
145,Vayne - Hunter,Origins,Rare,035/298,Near Mint,Foil,1,0.49,0.04,8.89,up,https://public.getcollectr.com/public-assets/products/product_652808.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Vayne - Hunter 
146,Hard Bargain,Spiritforged,Uncommon,136/221,Near Mint,Normal,1,0.48,0.06,14.29,up,https://public.getcollectr.com/public-assets/products/product_666501.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Hard Bargain 
147,Gutter Palace,Unleashed,Epic,088/219,Near Mint,Foil,1,0.44,-0.09,-16.98,down,https://public.getcollectr.com/public-assets/products/product_684596.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Gutter Palace 
148,Volibear - Imposing,Origins,Rare,158/298,Near Mint,Foil,1,0.43,0.1,30.3,up,https://public.getcollectr.com/public-assets/products/product_652943.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Volibear - Imposing 
149,Meowscarada,Journey Together,Holo Rare,018/159,Near Mint,Reverse Holofoil,1,0.42,-0.03,-6.67,down,https://public.getcollectr.com/public-assets/products/product_623445.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Meowscarada 
150,Nami (OP15-108),Adventure on Kami's Island,R,OP15-108,Near Mint,Foil,1,0.41,0.03,7.89,up,https://public.getcollectr.com/public-assets/products/product_685463.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Nami (OP15-108) 
151,Shurelya's Requiem,Spiritforged,Epic,192/221,Near Mint,Foil,1,0.41,0.04,10.81,up,https://public.getcollectr.com/public-assets/products/product_666799.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Shurelya's Requiem 
152,Yasuo - Remorseful,Origins,Rare,076/298,Near Mint,Foil,1,0.4,0.02,5.26,up,https://public.getcollectr.com/public-assets/products/product_652853.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Yasuo - Remorseful 
153,Switcheroo,Spiritforged,Rare,145/221,Near Mint,Foil,2,0.39,0.03,8.33,up,https://public.getcollectr.com/public-assets/products/product_665023.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Switcheroo 
154,Jayce - Man of Progress,Spiritforged,Rare,084/221,Near Mint,Foil,1,0.39,0.03,8.33,up,https://public.getcollectr.com/public-assets/products/product_666454.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jayce - Man of Progress 
155,Gin,Adventure on Kami's Island,SR,OP15-007,Near Mint,Foil,2,0.37,-0.05,-11.9,down,https://public.getcollectr.com/public-assets/products/product_685345.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Gin 
156,Monkey.D.Garp,Carrying On His Will,R,OP13-016,Near Mint,Foil,1,0.36,0.02,5.88,up,https://public.getcollectr.com/public-assets/products/product_657270.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Monkey.D.Garp 
157,Hibari,Extra Booster: One Piece Heroine's Edition,R,EB03-008,Near Mint,Foil,1,0.35,0.04,12.9,up,https://public.getcollectr.com/public-assets/products/product_672748.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Hibari 
158,Sett - The Boss,Origins,Rare,269/298,Near Mint,Foil,1,0.35,0.07,25,up,https://public.getcollectr.com/public-assets/products/product_653067.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sett - The Boss 
159,Kai'Sa - Daughter of the Void,Origins,Rare,247/298,Near Mint,Foil,1,0.35,0.04,12.9,up,https://public.getcollectr.com/public-assets/products/product_653045.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Kai'Sa - Daughter of the Void 
160,Distorted Future,Adventure on Kami's Island,R,EB04-008,Near Mint,Foil,1,0.34,0,0,flat,https://public.getcollectr.com/public-assets/products/product_685305.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Distorted Future 
161,Piercing Light,Spiritforged,Rare,023/221,Near Mint,Foil,1,0.34,0,0,flat,https://public.getcollectr.com/public-assets/products/product_665012.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Piercing Light 
162,Pirates Docking Six,Adventure on Kami's Island,R,OP15-088,Near Mint,Foil,1,0.33,-0.22,-40,down,https://public.getcollectr.com/public-assets/products/product_685441.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Pirates Docking Six 
163,Trinity Force,Spiritforged,Rare,115/221,Near Mint,Foil,1,0.32,0.04,14.29,up,https://public.getcollectr.com/public-assets/products/product_663430.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Trinity Force 
164,Gourgeist ex,Ninja Spinner,Double Rare,041/083,Near Mint,Holofoil,1,0.32,-0.1,-23.81,down,https://public.getcollectr.com/public-assets/products/product_683692.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Gourgeist ex 
165,Rob Lucci,Adventure on Kami's Island,SR,EB04-048,Near Mint,Foil,1,0.31,-0.01,-3.13,down,https://public.getcollectr.com/public-assets/products/product_685317.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rob Lucci 
166,Jewelry Bonney,Extra Booster: One Piece Heroine's Edition,R,EB03-017,Near Mint,Foil,1,0.31,0.01,3.33,up,https://public.getcollectr.com/public-assets/products/product_672759.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jewelry Bonney 
167,King's Edict,Origins,Rare,237/298,Near Mint,Foil,1,0.31,0.03,10.71,up,https://public.getcollectr.com/public-assets/products/product_653031.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,King's Edict 
168,The Harrowing,Origins,Rare,198/298,Near Mint,Foil,1,0.31,-0.06,-16.22,down,https://public.getcollectr.com/public-assets/products/product_652989.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,The Harrowing 
169,Xin Zhao - Vigilant,Spiritforged,Rare,176/221,Near Mint,Foil,1,0.3,-0.03,-9.09,down,https://public.getcollectr.com/public-assets/products/product_666483.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Xin Zhao - Vigilant 
170,Lucian - Merciless,Spiritforged,Rare,113/221,Near Mint,Foil,2,0.3,0.02,7.14,up,https://public.getcollectr.com/public-assets/products/product_663444.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lucian - Merciless 
171,Denjiro,Romance Dawn,R,OP01-046,Near Mint,Foil,1,0.29,0.02,7.41,up,https://public.getcollectr.com/public-assets/products/product_454570.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Denjiro 
172,Miss Fortune - Bounty Hunter,Origins,Rare,267/298,Near Mint,Foil,1,0.29,0.01,3.57,up,https://public.getcollectr.com/public-assets/products/product_653065.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Miss Fortune - Bounty Hunter 
173,Ninetales,Surging Sparks,Uncommon,017/191,Near Mint,Reverse Holofoil,1,0.29,0,0,flat,https://public.getcollectr.com/public-assets/products/product_590010.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ninetales 
174,Bianca's Devotion,Temporal Forces,Uncommon,142/162,Near Mint,Reverse Holofoil,1,0.29,-0.01,-3.33,down,https://public.getcollectr.com/public-assets/products/product_542656.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Bianca's Devotion  
175,Viktor - Innovator,Origins,Rare,117/298,Near Mint,Foil,1,0.28,0.01,3.7,up,https://public.getcollectr.com/public-assets/products/product_652899.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Viktor - Innovator 
176,Heart of Dark Ice,Spiritforged,Rare,052/221,Near Mint,Foil,2,0.27,0.02,8,up,https://public.getcollectr.com/public-assets/products/product_666847.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Heart of Dark Ice 
177,Bartholomew Kuma (EB04-054),Adventure on Kami's Island,R,EB04-054,Near Mint,Foil,1,0.27,-0.03,-10,down,https://public.getcollectr.com/public-assets/products/product_685325.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Bartholomew Kuma (EB04-054) 
178,Boa Hancock - EB04-027,The Azure Sea's Seven,R,EB04-027,Near Mint,Foil,1,0.27,-0.03,-10,down,https://public.getcollectr.com/public-assets/products/product_668528.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Boa Hancock - EB04-027 
179,Jewelry Bonney (EB04-002),Adventure on Kami's Island,R,EB04-002,Near Mint,Foil,1,0.26,0.03,13.04,up,https://public.getcollectr.com/public-assets/products/product_685297.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jewelry Bonney (EB04-002) 
180,Card Sharp,Spiritforged,Rare,081/221,Near Mint,Foil,2,0.26,0.04,18.18,up,https://public.getcollectr.com/public-assets/products/product_666587.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Card Sharp 
181,Lee Sin - Centered,Origins,Rare,151/298,Near Mint,Foil,1,0.26,0.04,18.18,up,https://public.getcollectr.com/public-assets/products/product_652935.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lee Sin - Centered 
182,Ethan's Pichu,Destined Rivals,Common,071/182,Near Mint,Reverse Holofoil,1,0.26,0.01,4,up,https://public.getcollectr.com/public-assets/products/product_630819.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ethan's Pichu 
183,Roronoa Zoro,Carrying On His Will,R,OP13-037,Near Mint,Foil,1,0.25,-0.05,-16.67,down,https://public.getcollectr.com/public-assets/products/product_657295.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Roronoa Zoro 
184,Togekiss,Surging Sparks,Rare,072/191,Near Mint,Holofoil,1,0.25,0.06,31.58,up,https://public.getcollectr.com/public-assets/products/product_590078.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Togekiss 
185,Ava Achiever,Origins,Rare,107/298,Near Mint,Foil,1,0.25,-0.02,-7.41,down,https://public.getcollectr.com/public-assets/products/product_652888.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ava Achiever 
186,Renata Glasc - Industrialist,Spiritforged,Rare,171/221,Near Mint,Foil,2,0.24,0.03,14.29,up,https://public.getcollectr.com/public-assets/products/product_665139.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Renata Glasc - Industrialist 
187,Desert's Call,Spiritforged,Common,031/221,Near Mint,Foil,1,0.24,0.01,4.35,up,https://public.getcollectr.com/public-assets/products/product_666830.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Desert's Call 
188,Tera Orb,Surging Sparks,Uncommon,189/191,Near Mint,Reverse Holofoil,1,0.24,0.01,4.35,up,https://public.getcollectr.com/public-assets/products/product_590076.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Tera Orb 
189,Udyr - Wildman,Origins,Rare,157/298,Near Mint,Foil,1,0.24,-0.03,-11.11,down,https://public.getcollectr.com/public-assets/products/product_652942.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Udyr - Wildman 
190,Ezreal - Dashing,Spiritforged,Rare,082/221,Near Mint,Foil,1,0.23,0,0,flat,https://public.getcollectr.com/public-assets/products/product_665487.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ezreal - Dashing 
191,Irelia - Blade Dancer,Spiritforged,Rare,195/221,Near Mint,Foil,2,0.23,0.06,35.29,up,https://public.getcollectr.com/public-assets/products/product_663441.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Irelia - Blade Dancer 
192,Undertitan,Spiritforged,Rare,175/221,Near Mint,Foil,2,0.23,0.01,4.55,up,https://public.getcollectr.com/public-assets/products/product_666484.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Undertitan 
193,Arlong,Adventure on Kami's Island,R,OP15-023,Near Mint,Foil,1,0.23,-0.03,-11.54,down,https://public.getcollectr.com/public-assets/products/product_685364.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Arlong 
194,Convergent Mutation,Origins,Rare,108/298,Near Mint,Foil,1,0.23,0.06,35.29,up,https://public.getcollectr.com/public-assets/products/product_652889.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Convergent Mutation 
195,Promising Future,Origins,Rare,115/298,Near Mint,Foil,1,0.23,-0.03,-11.54,down,https://public.getcollectr.com/public-assets/products/product_652897.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Promising Future 
196,Honeyfruit,Unleashed,Rare,049/219,Near Mint,Foil,1,0.23,0,0,flat,https://public.getcollectr.com/public-assets/products/product_685658.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Honeyfruit 
197,Sterak's Gage,Spiritforged,Rare,056/221,Near Mint,Foil,1,0.22,0.04,22.22,up,https://public.getcollectr.com/public-assets/products/product_663434.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sterak's Gage 
198,Basic Metal Energy - 024,SVE: Scarlet & Violet Energies,Common,024,Near Mint,Reverse Holofoil,1,0.22,-0.04,-15.38,down,https://public.getcollectr.com/public-assets/products/product_645304.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Basic Metal Energy - 024 
199,Mr. Mime,Temporal Forces,Common,063/162,Near Mint,Reverse Holofoil,1,0.22,0.02,10,up,https://public.getcollectr.com/public-assets/products/product_542807.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mr. Mime 
200,Minefield,Spiritforged,Uncommon,212/221,Near Mint,Foil,1,0.21,0.01,5,up,https://public.getcollectr.com/public-assets/products/product_666874.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Minefield 
201,Long Sword,Spiritforged,Rare,022/221,Near Mint,Foil,2,0.21,0.02,10.53,up,https://public.getcollectr.com/public-assets/products/product_663436.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Long Sword 
202,Lightning Dragon,Adventure on Kami's Island,R,OP15-077,Near Mint,Foil,2,0.21,-0.05,-19.23,down,https://public.getcollectr.com/public-assets/products/product_685427.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lightning Dragon 
203,Kha'Zix - Mutating Horror,Unleashed,Rare,143/219,Near Mint,Foil,1,0.21,0.04,23.53,up,https://public.getcollectr.com/public-assets/products/product_685027.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Kha'Zix - Mutating Horror 
204,Archeops,White Flare,Rare,051/086,Near Mint,Reverse Holofoil,1,0.21,-0.01,-4.55,down,https://public.getcollectr.com/public-assets/products/product_642163.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Archeops 
205,Sivir - Battle Mistress,Spiritforged,Rare,203/221,Near Mint,Foil,1,0.2,-0.05,-20,down,https://public.getcollectr.com/public-assets/products/product_663438.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sivir - Battle Mistress 
206,Draven - Vanquisher,Spiritforged,Rare,020/221,Near Mint,Foil,1,0.2,0.01,5.26,up,https://public.getcollectr.com/public-assets/products/product_663445.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Draven - Vanquisher 
207,Isuka,Extra Booster: One Piece Heroine's Edition,R,EB03-022,Near Mint,Foil,1,0.2,0,0,flat,https://public.getcollectr.com/public-assets/products/product_672765.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Isuka 
208,Carrot,Extra Booster: One Piece Heroine's Edition,R,EB03-013,Near Mint,Foil,1,0.2,0,0,flat,https://public.getcollectr.com/public-assets/products/product_672754.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Carrot 
209,Rebecca,Extra Booster: One Piece Heroine's Edition,R,EB03-048,Near Mint,Foil,1,0.2,0.03,17.65,up,https://public.getcollectr.com/public-assets/products/product_672799.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rebecca 
210,Boa Hancock,Carrying On His Will,R,OP13-051,Near Mint,Foil,1,0.2,-0.01,-4.76,down,https://public.getcollectr.com/public-assets/products/product_657310.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Boa Hancock 
211,Bouffalant,Stellar Crown,Rare,119/142,Near Mint,Reverse Holofoil,1,0.2,-0.03,-13.04,down,https://public.getcollectr.com/public-assets/products/product_567345.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Bouffalant 
212,Here to Help,Spiritforged,Rare,111/221,Near Mint,Foil,2,0.19,-0.01,-5,down,https://public.getcollectr.com/public-assets/products/product_664888.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Here to Help 
213,Gum-Gum Golden Rifle,Adventure on Kami's Island,R,OP15-116,Near Mint,Foil,2,0.19,0.01,5.56,up,https://public.getcollectr.com/public-assets/products/product_685474.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Gum-Gum Golden Rifle 
214,Azir - Ascendant,Spiritforged,Rare,050/221,Near Mint,Foil,1,0.19,-0.01,-5,down,https://public.getcollectr.com/public-assets/products/product_666398.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Azir - Ascendant 
215,Golisopod,Paradox Rift,Rare,049/182,Near Mint,Reverse Holofoil,1,0.19,0,0,flat,https://public.getcollectr.com/public-assets/products/product_523659.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Golisopod 
216,Crocalor,Surging Sparks,Common,030/191,Near Mint,Reverse Holofoil,1,0.19,-0.01,-5,down,https://public.getcollectr.com/public-assets/products/product_589908.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Crocalor 
217,Marguerite,Extra Booster: One Piece Heroine's Edition,R,EB03-027,Near Mint,Foil,1,0.19,0.03,18.75,up,https://public.getcollectr.com/public-assets/products/product_672773.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Marguerite 
218,Atakhan,Unleashed,Rare,170/219,Near Mint,Foil,1,0.19,-0.04,-17.39,down,https://public.getcollectr.com/public-assets/products/product_684498.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Atakhan 
219,Jax - Unmatched,Spiritforged,Rare,054/221,Near Mint,Foil,2,0.18,0.03,20,up,https://public.getcollectr.com/public-assets/products/product_666402.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jax - Unmatched 
220,Gearhead,Spiritforged,Common,068/221,Near Mint,Foil,1,0.18,0,0,flat,https://public.getcollectr.com/public-assets/products/product_666856.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Gearhead 
221,Serrated Dirk,Spiritforged,Common,009/221,Near Mint,Foil,1,0.18,0.01,5.88,up,https://public.getcollectr.com/public-assets/products/product_666800.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Serrated Dirk 
222,Azir - Emperor of the Sands,Spiritforged,Rare,197/221,Near Mint,Foil,1,0.18,0.02,12.5,up,https://public.getcollectr.com/public-assets/products/product_663440.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Azir - Emperor of the Sands 
